Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,123,93,1136,84.34,0.000%,3.32751,16.71,0.41,5143.6
TOTAL,200,123,93,1136,84.34,0.000%,3.32751,16.71,0.41,5143.6
