Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,123,112,126,133,450,93,1136,0.000%,3.32751,16.71,0.41
TOTAL,200,123,112,126,133,450,93,1136,0.000%,3.32751,16.71,0.41
