Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,123,112,126,133,450,93,1136,0.00%,3.32751,122.795
TOTAL,200,123,112,126,133,450,93,1136,0.00%,3.32751,122.795
