Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,348,340,372,389,439,319,593,100.000%,3.33117,1.65,0.42
TOTAL,200,348,340,372,389,439,319,593,100.000%,3.33117,1.65,0.42
