Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,348,340,372,389,439,319,593,100.00%,3.33117,348.02
TOTAL,200,348,340,372,389,439,319,593,100.00%,3.33117,348.02
