Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,131,104,150,225,592,86,1262,100.00%,3.34482,131.035
TOTAL,200,131,104,150,225,592,86,1262,100.00%,3.34482,131.035
