Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,131,104,150,225,592,86,1262,100.000%,3.34482,37.57,0.40
TOTAL,200,131,104,150,225,592,86,1262,100.000%,3.34482,37.57,0.40
