Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,115,104,130,152,349,93,484,100.00%,3.34868,111.56
TOTAL,200,115,104,130,152,349,93,484,100.00%,3.34868,111.56
