Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,115,104,130,152,349,93,484,100.000%,3.34868,106.07,0.44
TOTAL,200,115,104,130,152,349,93,484,100.000%,3.34868,106.07,0.44
