Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,119,91,502,50.28,100.000%,3.34896,106.07,0.44,32432.8
TOTAL,200,119,91,502,50.28,100.000%,3.34896,106.07,0.44,32432.8
