Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,119,106,138,166,358,91,502,100.000%,3.34896,106.07,0.44
TOTAL,200,119,106,138,166,358,91,502,100.000%,3.34896,106.07,0.44
