Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,119,106,138,166,358,91,502,100.00%,3.34896,115.145
TOTAL,200,119,106,138,166,358,91,502,100.00%,3.34896,115.145
