Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,119,104,144,197,359,85,421,100.00%,3.34387,114.64
TOTAL,200,119,104,144,197,359,85,421,100.00%,3.34387,114.64
