Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,119,104,144,197,359,85,421,100.000%,3.34387,60.30,0.38
TOTAL,200,119,104,144,197,359,85,421,100.000%,3.34387,60.30,0.38
