Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,290,234,448,661,1126,150,1311,0.000%,3.32657,431.64,0.46
TOTAL,200,290,234,448,661,1126,150,1311,0.000%,3.32657,431.64,0.46
