Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,290,234,448,661,1126,150,1311,0.00%,3.32657,199.55
TOTAL,200,290,234,448,661,1126,150,1311,0.00%,3.32657,199.55
