Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,124,117,146,163,262,96,435,0.000%,3.33023,16.73,0.41
TOTAL,200,124,117,146,163,262,96,435,0.000%,3.33023,16.73,0.41
