Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,381,364,509,532,634,270,819,100.000%,3.32524,335.05,0.50
TOTAL,200,381,364,509,532,634,270,819,100.000%,3.32524,335.05,0.50
