Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,381,364,509,532,634,270,819,100.00%,3.32524,333.55
TOTAL,200,381,364,509,532,634,270,819,100.00%,3.32524,333.55
