Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,129,115,149,185,308,89,1107,100.00%,3.34387,124.53
TOTAL,200,129,115,149,185,308,89,1107,100.00%,3.34387,124.53
