Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,129,115,149,185,308,89,1107,100.000%,3.34387,63.90,0.37
TOTAL,200,129,115,149,185,308,89,1107,100.000%,3.34387,63.90,0.37
