Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,141,110,300,28.97,100.000%,3.34219,1.34,0.45,411.2
TOTAL,200,141,110,300,28.97,100.000%,3.34219,1.34,0.45,411.2
