Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,141,132,179,204,230,110,300,100.00%,3.34219,140.895
TOTAL,200,141,132,179,204,230,110,300,100.00%,3.34219,140.895
