Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,141,132,179,204,230,110,300,100.000%,3.34219,1.34,0.45
TOTAL,200,141,132,179,204,230,110,300,100.000%,3.34219,1.34,0.45
