Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,629,638,736,976,1472,409,1884,100.00%,3.31813,418.175
TOTAL,200,629,638,736,976,1472,409,1884,100.00%,3.31813,418.175
