Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,629,638,736,976,1472,409,1884,100.000%,3.31813,4724.15,0.40
TOTAL,200,629,638,736,976,1472,409,1884,100.000%,3.31813,4724.15,0.40
