Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,629,409,1884,207.53,100.000%,3.31813,4724.15,0.40,1457910.8
TOTAL,200,629,409,1884,207.53,100.000%,3.31813,4724.15,0.40,1457910.8
