Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,173,166,180,200,410,145,564,0.000%,3.33584,173.68,0.47
TOTAL,200,173,166,180,200,410,145,564,0.000%,3.33584,173.68,0.47
