Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,173,166,180,200,410,145,564,0.00%,3.33584,126.22
TOTAL,200,173,166,180,200,410,145,564,0.00%,3.33584,126.22
