Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,173,145,564,40.96,0.000%,3.33584,173.68,0.47,53315.0
TOTAL,200,173,145,564,40.96,0.000%,3.33584,173.68,0.47,53315.0
