Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,115,102,139,157,408,85,493,100.000%,3.34762,4.01,0.42
TOTAL,200,115,102,139,157,408,85,493,100.000%,3.34762,4.01,0.42
