Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,115,102,139,157,408,85,493,100.00%,3.34762,115.705
TOTAL,200,115,102,139,157,408,85,493,100.00%,3.34762,115.705
