Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,136,124,164,178,383,105,691,100.00%,3.34588,134.385
TOTAL,200,136,124,164,178,383,105,691,100.00%,3.34588,134.385
