Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,136,105,691,51.03,100.000%,3.34588,74.51,0.47,22802.8
TOTAL,200,136,105,691,51.03,100.000%,3.34588,74.51,0.47,22802.8
