Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,225,212,235,247,477,193,1002,100.00%,3.34236,224.165
TOTAL,200,225,212,235,247,477,193,1002,100.00%,3.34236,224.165
