Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,225,212,235,247,477,193,1002,100.000%,3.34236,17.97,0.39
TOTAL,200,225,212,235,247,477,193,1002,100.000%,3.34236,17.97,0.39
