Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,154,114,169,308,1049,90,1977,100.000%,20.06421,15.24,4.60
TOTAL,200,154,114,169,308,1049,90,1977,100.000%,20.06421,15.24,4.60
