Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,154,90,1977,184.44,100.000%,20.06421,15.24,4.60,778.0
TOTAL,200,154,90,1977,184.44,100.000%,20.06421,15.24,4.60,778.0
