Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,154,114,169,308,1049,90,1977,100.00%,20.06421,154.17
TOTAL,200,154,114,169,308,1049,90,1977,100.00%,20.06421,154.17
