Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,449,390,618,792,1002,333,1325,100.00%,3.32591,443.685
TOTAL,200,449,390,618,792,1002,333,1325,100.00%,3.32591,443.685
