Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,449,390,618,792,1002,333,1325,100.000%,3.32591,42.32,0.41
TOTAL,200,449,390,618,792,1002,333,1325,100.000%,3.32591,42.32,0.41
