Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,449,333,1325,151.50,100.000%,3.32591,42.32,0.41,13028.8
TOTAL,200,449,333,1325,151.50,100.000%,3.32591,42.32,0.41,13028.8
