Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,105,93,122,152,335,81,645,100.00%,3.35036,105.515
TOTAL,200,105,93,122,152,335,81,645,100.00%,3.35036,105.515
