Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,105,93,122,152,335,81,645,100.000%,3.35036,4.25,0.44
TOTAL,200,105,93,122,152,335,81,645,100.000%,3.35036,4.25,0.44
