Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,164,154,183,204,391,122,853,0.00%,3.3432,158.94
TOTAL,200,164,154,183,204,391,122,853,0.00%,3.3432,158.94
