Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,164,154,183,204,391,122,853,0.000%,3.34320,101.67,0.42
TOTAL,200,164,154,183,204,391,122,853,0.000%,3.34320,101.67,0.42
