Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,249,152,314,637,2400,122,2734,0.000%,4.27862,116.60,0.63
TOTAL,200,249,152,314,637,2400,122,2734,0.000%,4.27862,116.60,0.63
