Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,198,188,226,247,343,169,532,0.000%,3.35121,7.96,0.42
TOTAL,200,198,188,226,247,343,169,532,0.000%,3.35121,7.96,0.42
