Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,198,169,532,40.04,0.000%,3.35121,7.96,0.42,2431.0
TOTAL,200,198,169,532,40.04,0.000%,3.35121,7.96,0.42,2431.0
