Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,198,188,226,247,343,169,532,0.00%,3.35121,197.72
TOTAL,200,198,188,226,247,343,169,532,0.00%,3.35121,197.72
