Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,141,125,164,200,428,102,1130,100.00%,3.34778,140.765
TOTAL,200,141,125,164,200,428,102,1130,100.00%,3.34778,140.765
