Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,141,125,164,200,428,102,1130,100.000%,3.34778,7.87,0.44
TOTAL,200,141,125,164,200,428,102,1130,100.000%,3.34778,7.87,0.44
