Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,576,502,675,744,1759,445,2875,100.00%,3.32281,569.16
TOTAL,200,576,502,675,744,1759,445,2875,100.00%,3.32281,569.16
