Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,576,502,675,744,1759,445,2875,100.000%,3.32281,107.24,0.43
TOTAL,200,576,502,675,744,1759,445,2875,100.000%,3.32281,107.24,0.43
