Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Av latency
HTTP Request,200,140,133,158,168,359,112,533,0.00%,3.35211,140.135
TOTAL,200,140,133,158,168,359,112,533,0.00%,3.35211,140.135
