Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,140,112,533,42.28,0.000%,3.35211,9.12,0.41,2785.5
TOTAL,200,140,112,533,42.28,0.000%,3.35211,9.12,0.41,2785.5
