Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,140,133,158,168,359,112,533,0.000%,3.35211,9.12,0.41
TOTAL,200,140,133,158,168,359,112,533,0.000%,3.35211,9.12,0.41
